default_code,name,standard_price,list_price
BOB_014N_101,Bobine Galva 0.14 en 1000MM,1513,564
BOB_016N_001,Bobine Galva 0.16 en 1000MM,1510,7
BOB_016N_101,Bobine Galva 0.16 en 1000MM,1510,7
BOB_018N_001,Bobine Galva 0.18 en 1000MM,604,269
BOB_018N_101,Bobine Galva 0.18 en 1000MM,2646,0
BOB_020N_001,Bobine Galva 0.20 en 1000MM,1,5680
BOB_020N_101,Bobine Galva 0.20 en 1000MM,2790,0
BOB_025N_001,Bobine Galva 0.25 en 1000MM,5681,7650
BOB_025N_101,Bobine Galva 0.25 en 1000MM,0,0
BOB_030N_001,Bobine Galva 0.30 en 1000MM,2415,0
BOB_030N_101,Bobine Galva 0.30 en 1000MM,0,0
BOB_035N_001,Bobine Galva 0.35 en 1000MM,2476,311
BOB_035N_002,Bobine Galva 0.35 en 1250MM,0,0
BOB_035N_101,Bobine Galva 0.35 en 1000MM,2487,405
BOB_035N_102,Bobine Galva 0.35 en 1250MM,2288,0
BOB_040J_001,Bobine Prlq 0.40 Vert Jaune 1000MM,0,0
BOB_040J_101,Bobine Prlq 0.40 Vert Jaune 1000MM,2770,0
BOB_040N_001,Bobine Galva 0.40 en 1000MM,0,0
BOB_040N_002,Bobine Galva 0.40 en 1250MM,2239,0
BOB_040N_101,Bobine Galva 0.40 en 1000MM,0,0
BOB_040N_102,Bobine Galva 0.40 en 1250MM,2239,0
BOB_040R_001,Bobine Prlq 0.40 Rouge en 1000MM,0,0
BOB_040R_101,Bobine Prlq 0.40 Rouge en 1000MM,2573,0
BOB_040V_101,Bobine Prelaque Vert pale,0,0
BOB_040W_01,Bobine Prlq 0.40 Blanc en 1000MM,2836,135
BOB_040W_101,Bobine Prlq 0.40 Blanc en 1000MM,2770,0
BOB_050C_001,Bobine Prlq 0.50 Blanc Crème en 1000MM,0,0
BOB_050C_101,Bobine Prlq 0.50 Blanc Crème en 1000MM,2548,0
BOB_050E_002,Bobine Prlq 0.50 Vert Eméraude en 1250MM,3125,0
BOB_050E_101,Bobine Prlq 0.50 vert emeraude 1000MM,0,0
BOB_050E_102,Bobine Prlq 0.50 Vert Eméraude en 1250MM,0,0
BOB_050F_001,Bobine Prlq 0.50 Vert Clair en 1000MM,0,0
BOB_050F_101,Bobine Prlq 0.50 Vert Clair en 1000MM,2178,0
BOB_050J_001,Bobine Prlq vert jaune en 1000MM,0,0
BOB_050J_002,Bobine Galva 0.50 Vert Jaune en 1250MM,2309,0
BOB_050J_101,Bobine Prlq vert jaune en 1000MM,0,0
BOB_050J_102,Bobine Galva 0.50 Vert Jaune en 1250MM,0,0
BOB_050N_001,Bobine Galva 0.50 en 1000MM,0,0
BOB_050N_002,Bobine Galva 0.50 en 1250MM,0,0
BOB_050N_003,Bobine Galva 0.50 en 1225MM,1780,0
BOB_050N_101,Bobine Galva 0.50 en 1000MM,0,0
BOB_050N_102,Bobine Galva 0.50 en 1250MM,0,0
BOB_050N_103,Bobine Galva 0.50 en 1225MM,0,0
BOB_050R_001,Bobine Prlq 0.50 Rouge en 1000MM,0,0
BOB_050R_002,Bobine Prlq 0.50 Rouge en 1250MM,3215,0
BOB_050R_101,Bobine Prlq 0.50 Rouge en 1000MM,2679,0
BOB_050R_102,Bobine Prlq 0.50 Rouge en 1250MM,0,0
BOB_050T_101,Bobine Prlq 0.50 rouge trafic 1000MM,0,0
BOB_050V_001,Bobine Prlq 0.50 Vert en 1000MM,2613,732
BOB_050V_101,Bobine Prlq 0.50 Vert en 1000MM,0,0
BOB_050W_001,Bobine Prlq 0.50 Blanc en 1000MM,11929,17450
BOB_050W_002,Bobine 0.50 Prlq Blanc en 1250MM,0,0
BOB_050W_101,Bobine Prlq 0.50 Blanc en 1000MM,2594,0
BOB_050W_102,Bobine 0.50 Prlq Blanc en 1250MM,0,0
BOB_058N_003,Bobine Galva 0.58 en 1225MM,0,0
BOB_058N_103,Bobine Galva 0.58 en 1225MM,0,0
BOB_060B_001,Bobine Prlq 0.60 Bleu Ciel en 1000MM,0,0
BOB_060B_101,Bobine Prlq 0.60 Bleu Ciel en 1000MM,0,0
BOB_060C_101,Bobine 0.60 Prlq Blanc creme 1000MM,0,0
BOB_060E_002,Bobine Prlq 0.60 Vert Eméraude en 1250MM,3190,0
BOB_060E_101,Bobine Prlq 0.60 Vert emeraude 1000MM,0,0
BOB_060E_102,Bobine Prlq 0.60 Vert Eméraude en 1250MM,0,0
BOB_060J_001,Bobine Prlq 0.60 Vert Jaune en 1000MM,2542,552
BOB_060J_002,Bobine Prlq 0.60 Vert Jaune en 1250MM,2284,0
BOB_060J_101,Bobine Prlq 0.60 Vert Jaune en 1000MM,0,0
BOB_060J_102,Bobine Prlq 0.60 Vert Jaune en 1250MM,0,0
BOB_060N_001,Bobine Galva 0.60 en 1000MM,0,0
BOB_060N_002,Bobine Galva 0.60 en 1250MM,1728,997
BOB_060N_101,Bobine Galva 0.60 en 1000MM,0,0
BOB_060N_102,Bobine Galva 0.60 en 1250MM,0,0
BOB_060R_001,Bobine Prlq 0.60 Rouge en 1000MM,12046,21950
BOB_060R_002,Bobine Prlq 0.60 Rouge en 1250MM,15057,26350
BOB_060R_101,Bobine Prlq 0.60 Rouge en 1000MM,0,0
BOB_060R_102,Bobine Prlq 0.60 Rouge en 1250MM,0,0
BOB_060T_001,Bobine Prlq 0.60 Rouge Trafic en 1000MM,0,0
BOB_060T_101,Bobine Prlq 0.60 Rouge Trafic en 1000MM,0,0
BOB_060V_001,Bobine Prlq 0.60 Vert pale en 1000MM,12047,21950
BOB_060V_101,Bobine Prlq 0.60 Vert pale en 1000MM,0,0
BOB_060W_001,Bobine Prlq 0.60 Blanc en 1000MM,14226,21950
BOB_060W_002,Bobine Prlq 0.60 Blanc en 1250MM,0,0
BOB_060W_101,Bobine Prlq 0.60 Blanc en 1000MM,0,0
BOB_060W_102,Bobine Prlq 0.60 Blanc en 1250MM,0,0
BOB_063B_001,Bobine 0.63 Prlq Bleu 1000MM,0,0
BOB_063B_101,Bobine 0.63 Prlq Bleu 1000MM,0,0
BOB_063I_001,Bobine Prlq 0.63 Gris en 1000MM,0,0
BOB_063I_101,Bobine Prlq 0.63 Gris en 1000MM,0,0
BOB_063N_101,Bobine 0.63 prlq 1000MM,0,0
BOB_063R_101,Bobine Prlq 0.63 rouge brun 1000MM,0,0
BOB_063V_001,Bobine Prlq 0.63 Vert en 1000MM,0,0
BOB_063V_101,Bobine Prlq 0.63 Vert en 1000MM,0,0
BOB_075G_001,Bobine Prlq 0.75 Blanc Gris en 1000MM,2907,0
BOB_075G_101,Bobine Prlq 0.75 Blanc Gris en 1000MM,0,0
BOB_075N_001,Bobine Galva 0.75 en 1000MM,2121,227
BOB_075N_101,Bobine Galva 0.75 en 1000MM,0,0
BOB_080N_002,Bobine Galva 0.80 en 1250MM,0,0
BOB_080N_102,Bobine Galva 0.80 en 1250MM,0,0
BOB_25AN_101,Bobine Aluzinc 0.25 en 1000MM,0,0
BOB_30AN_101,Bobine Aluzinc 0.30 en 1000MM,0,0
BOB_35AN_101,Bobine Aluzinc 0.35 en 1000MM,0,0
BOB_40AJ_101,Bobine Prlq Aluzinc 0.40 Vert Jaune en 1000MM,0,0
BOB_40AN_101,Bobine Aluzinc 0.40 en 1000MM,0,0
BOB_40AR_101,Bobine Prlq Aluzinc 0.40 Rouge en 1000MM,0,0
BOB_40AW_101,Bobine Prlq Aluzinc 0.40 Blanc en 1000MM,0,0
BOB_50AJ_101,Bobine Prlq Aluzinc 0.50 Vert Jaune en 1000MM,0,0
BOB_60AJ_101,Bobine Prlq Aluzinc 0.60 Vert Jaune en 1000MM,0,0
BOB_60AR_101,Bobine Prlq Aluzinc 0.60 Rouge en 1000MM,0,0
BOB_60AW_101,Bobine Prlq Aluzinc 0.60 Blanc en 1000MM,0,0
CAR_1010_001,Carreau 10x10 Classic Bianco MS-SEO/1196 -CX100p=1m²,15962,23900
CAR_1010_002,Carreau 10x10 Gamme Bianco MS-SEC/1864 -CX100p=1m²,15962,23900
CAR_1010_003,Carreau 10x10 ep12MM K902 blanc (Cx80p=0 93M²),0,19623
CAR_1010_004,Carreau 10x10 ep12MM K920 bleu (Cx80p=0 93M²),0,33064
