"id","journal_id.id","partner_id/id","period_id.id","date","name","state"
"FAA13868",105,"C22004",1,2011/01/06,"FAA13868","posted"
"FAA13840",105,"C22526",1,2011/01/05,"FAA13840","posted"
"FAA13842",105,"C22907",1,2011/01/05,"FAA13842","posted"
"FAA13850",105,"C22909",1,2011/01/05,"FAA13850","posted"
"FAA13851",105,"C22909",1,2011/01/05,"FAA13851","posted"
"FAA13844",105,"C22907",1,2011/01/05,"FAA13844","posted"
"FAA13843",105,"C22970",1,2011/01/05,"FAA13843","posted"
"FAA13845",105,"C75015",1,2011/01/05,"FAA13845","posted"
"FRA01157",105,"C22940",1,2011/01/05,"FRA01157","posted"
"FAA13846",105,"C22240",1,2011/01/05,"FAA13846","posted"
"FAA13847",105,"C22940",1,2011/01/05,"FAA13847","posted"
"FAA13848",105,"C22970",1,2011/01/05,"FAA13848","posted"
"FAA13849",105,"C53166",1,2011/01/05,"FAA13849","posted"
"FAT08878",105,"C53110",1,2011/01/05,"FAT08878","posted"
"FAA13852",105,"C22080",1,2011/01/05,"FAA13852","posted"
"FAA13869",105,"C22959",1,2011/01/06,"FAA13869","posted"
"FAA13853",105,"C22986",1,2011/01/05,"FAA13853","posted"
"FAA13854",105,"C22905",1,2011/01/05,"FAA13854","posted"
"FAA13855",105,"C22970",1,2011/01/05,"FAA13855","posted"
"FAA13856",105,"C22970",1,2011/01/05,"FAA13856","posted"
"FAA13898",105,"C22475",1,2011/01/06,"FAA13898","posted"
"FAA13903",105,"C22909",1,2011/01/06,"FAA13903","posted"
"FAA13894",105,"C75012",1,2011/01/06,"FAA13894","posted"
"FAA13889",105,"C22970",1,2011/01/06,"FAA13889","posted"
"FAA13896",105,"C22080",1,2011/01/06,"FAA13896","posted"
"FAA15172",105,"C22907",1,2011/01/25,"FAA15172","posted"
"FAA14015",105,"C22795",1,2011/01/07,"FAA14015","posted"
"FAA13890",105,"C22970",1,2011/01/06,"FAA13890","posted"
"FAA13893",105,"C22907",1,2011/01/06,"FAA13893","posted"
"FAA13899",105,"C22871",1,2011/01/06,"FAA13899","posted"
"FAA13895",105,"C22907",1,2011/01/06,"FAA13895","posted"
"FAA13897",105,"C22970",1,2011/01/06,"FAA13897","posted"
"FAA13941",105,"C22145",1,2011/01/07,"FAA13941","posted"
"FAA13940",105,"C22970",1,2011/01/07,"FAA13940","posted"
"FAA13942",105,"C22909",1,2011/01/07,"FAA13942","posted"
"FAA13944",105,"C22970",1,2011/01/07,"FAA13944","posted"
"FAA14021",105,"C22919",1,2011/01/08,"FAA14021","posted"
"FAA14136",105,"C22919",1,2011/01/11,"FAA14136","posted"
"FAA13945",105,"C22755",1,2011/01/07,"FAA13945","posted"
"FAA13957",105,"C22080",1,2011/01/07,"FAA13957","posted"
"FAA14466",105,"C62070",1,2011/01/15,"FAA14466","posted"
"FAA13901",105,"C22970",1,2011/01/06,"FAA13901","posted"
"FAA13900",105,"C22907",1,2011/01/06,"FAA13900","posted"
"FAA13902",105,"C22626",1,2011/01/06,"FAA13902","posted"
"FAA13905",105,"C22970",1,2011/01/06,"FAA13905","posted"
"FAA13907",105,"C62075",1,2011/01/06,"FAA13907","posted"
"FAA13906",105,"C22992",1,2011/01/06,"FAA13906","posted"
"FAA13918",105,"C22716",1,2011/01/06,"FAA13918","posted"
"FAA14054",105,"C22928",1,2011/01/08,"FAA14054","posted"
"FAA13908",105,"C22970",1,2011/01/06,"FAA13908","posted"
"FAA13919",105,"C22001",1,2011/01/06,"FAA13919","posted"
"FAA13924",105,"C22001",1,2011/01/06,"FAA13924","posted"
"FAA13909",105,"C22970",1,2011/01/06,"FAA13909","posted"
"FAA13911",105,"C22970",1,2011/01/06,"FAA13911","posted"
"FAT08912",105,"C53021",1,2011/01/06,"FAT08912","posted"
"FAA13912",105,"C22970",1,2011/01/06,"FAA13912","posted"
"FAA13915",105,"C22970",1,2011/01/06,"FAA13915","posted"
"FRA01162",105,"C22806",1,2011/01/06,"FRA01162","posted"
"FRA01163",105,"C22708",1,2011/01/06,"FRA01163","posted"
"AAA00215",105,"C22996",1,2011/01/06,"AAA00215","posted"
"FAT08971",105,"C53901",1,2011/01/07,"FAT08971","posted"
"AAA00216",105,"C22996",1,2011/01/06,"AAA00216","posted"
"FAT08867",105,"C53033",1,2011/01/04,"FAT08867","posted"
"FAT08869",105,"C53901",1,2011/01/04,"FAT08869","posted"
"FAA13743",105,"C22970",1,2011/01/04,"FAA13743","posted"
"FAA13742",105,"C24022",1,2011/01/04,"FAA13742","posted"
"FAT08870",105,"C53901",1,2011/01/04,"FAT08870","posted"
"FAA13744",105,"C22806",1,2011/01/04,"FAA13744","posted"
"FAT08872",105,"C53144",1,2011/01/04,"FAT08872","posted"
"FAT08871",105,"C53308",1,2011/01/04,"FAT08871","posted"
"FAT08875",105,"C53188",1,2011/01/04,"FAT08875","posted"
"FAA13746",105,"C22970",1,2011/01/04,"FAA13746","posted"
